synset_id	synset str	lemma	variant
355513	(butterfly weed 1* (rsl) [rsl] | orange milkweed 1* (rsl), chigger flower 1* (rsl), chiggerflower 1* (rsl), pleurisy root 1* (rsl), tuber root 1* (rsl), Indian paintbrush 1* (rsl), Asclepias tuberosa 1* (rsl))	Asclepias tuberosa	1
355513	(butterfly weed 1* (rsl) [rsl] | orange milkweed 1* (rsl), chigger flower 1* (rsl), chiggerflower 1* (rsl), pleurisy root 1* (rsl), tuber root 1* (rsl), Indian paintbrush 1* (rsl), Asclepias tuberosa 1* (rsl))	Indian paintbrush	1
355513	(butterfly weed 1* (rsl) [rsl] | orange milkweed 1* (rsl), chigger flower 1* (rsl), chiggerflower 1* (rsl), pleurisy root 1* (rsl), tuber root 1* (rsl), Indian paintbrush 1* (rsl), Asclepias tuberosa 1* (rsl))	tuber root	1
355513	(butterfly weed 1* (rsl) [rsl] | orange milkweed 1* (rsl), chigger flower 1* (rsl), chiggerflower 1* (rsl), pleurisy root 1* (rsl), tuber root 1* (rsl), Indian paintbrush 1* (rsl), Asclepias tuberosa 1* (rsl))	pleurisy root	1
355513	(butterfly weed 1* (rsl) [rsl] | orange milkweed 1* (rsl), chigger flower 1* (rsl), chiggerflower 1* (rsl), pleurisy root 1* (rsl), tuber root 1* (rsl), Indian paintbrush 1* (rsl), Asclepias tuberosa 1* (rsl))	chigger flower	1
355513	(butterfly weed 1* (rsl) [rsl] | orange milkweed 1* (rsl), chigger flower 1* (rsl), chiggerflower 1* (rsl), pleurisy root 1* (rsl), tuber root 1* (rsl), Indian paintbrush 1* (rsl), Asclepias tuberosa 1* (rsl))	orange milkweed	1
355513	(butterfly weed 1* (rsl) [rsl] | orange milkweed 1* (rsl), chigger flower 1* (rsl), chiggerflower 1* (rsl), pleurisy root 1* (rsl), tuber root 1* (rsl), Indian paintbrush 1* (rsl), Asclepias tuberosa 1* (rsl))	butterfly weed	1
355512	(poison milkweed 1* (rsl) [rsl] | horsetail milkweed 1* (rsl), Asclepias subverticillata 1* (rsl))	Asclepias subverticillata	1
355512	(poison milkweed 1* (rsl) [rsl] | horsetail milkweed 1* (rsl), Asclepias subverticillata 1* (rsl))	horsetail milkweed	1
355512	(poison milkweed 1* (rsl) [rsl] | horsetail milkweed 1* (rsl), Asclepias subverticillata 1* (rsl))	poison milkweed	1
