synset_id	synset str	lemma	variant
371310	(defend 1* (cpor) [cpor] | support 8* (cpor), fend for 1* (cpor))	fend for	1
371308	(take the Fifth 1* (cpor) [cpor] | take the Fifth Amendment 1* (cpor))	take the Fifth Amendment	1
371308	(take the Fifth 1* (cpor) [cpor] | take the Fifth Amendment 1* (cpor))	take the Fifth	1
371306	(excuse 5* (cpor) [cpor] | beg off 1* (cpor))	beg off	1
371304	(excuse 2* (cpor) [cpor] | relieve 10* (cpor), let off 1* (cpor), exempt 2* (cpor))	let off	1
371297	(thank 1* (cpor) [cpor] | give thanks 1* (cpor))	give thanks	1
371280	(take the veil 1* (cpor) [cpor] | )	take the veil	1
371266	(tie down 2* (cpor) [cpor] | )	tie down	2
371261	(swear off 1* (cpor) [cpor] | )	swear off	1
371255	(boast 1* (cpor) [cpor] | tout 2* (cpor), swash 3* (cpor), shoot a line 1* (cpor), brag 1* (cpor), gas 2* (cpor), blow 20* (cpor), bluster 2* (cpor), vaunt 1* (cpor), gasconade 1* (cpor))	shoot a line	1
371251	(speak of the devil 1* (cpor) [cpor] | )	speak of the devil	1
371244	(butter up 1* (cpor) [cpor] | brown-nose 1* (cpor))	butter up	1
371243	(curry favor 1* (cpor) [cpor] | curry favour 1* (cpor), court favor 1* (cpor), court favour 1* (cpor))	court favour	1
371243	(curry favor 1* (cpor) [cpor] | curry favour 1* (cpor), court favor 1* (cpor), court favour 1* (cpor))	court favor	1
371243	(curry favor 1* (cpor) [cpor] | curry favour 1* (cpor), court favor 1* (cpor), court favour 1* (cpor))	curry favour	1
371243	(curry favor 1* (cpor) [cpor] | curry favour 1* (cpor), court favor 1* (cpor), court favour 1* (cpor))	curry favor	1
371242	(fawn 2* (cpor) [cpor] | toady 1* (cpor), truckle 2* (cpor), bootlick 1* (cpor), kowtow 2* (cpor), kotow 1* (cpor), suck up 3* (cpor))	suck up	3
371236	(propose 5* (cpor) [cpor] | declare oneself 1* (cpor), offer 12* (cpor), pop the question 1* (cpor))	pop the question	1
371236	(propose 5* (cpor) [cpor] | declare oneself 1* (cpor), offer 12* (cpor), pop the question 1* (cpor))	declare oneself	1
371235	(nominate 1* (cpor) [cpor] | put up 9* (cpor), put forward 4* (cpor))	put forward	4
371235	(nominate 1* (cpor) [cpor] | put up 9* (cpor), put forward 4* (cpor))	put up	9
371234	(move 16* (cpor) [cpor] | make a motion 1* (cpor))	make a motion	1
371233	(report out 1* (cpor) [cpor] | )	report out	1
371229	(submit 6* (cpor) [cpor] | bow 2* (cpor), defer 2* (cpor), accede 1* (cpor), give in 1* (cpor))	give in	1
371228	(submit 2* (cpor) [cpor] | state 2* (cpor), put forward 1* (cpor), posit 2* (cpor))	put forward	1
371226	(consult 1* (cpor) [cpor] | confer with 1* (cpor))	confer with	1
371224	(consult 2* (cpor) [cpor] | refer 5* (cpor), look up 1* (cpor))	look up	1
371219	(feed back 2* (cpor) [cpor] | )	feed back	2
371216	(advance 2* (cpor) [cpor] | throw out 4* (cpor))	throw out	4
371213	(get into 4* (cpor) [cpor] | )	get into	4
371208	(advise 2* (cpor) [cpor] | notify 1* (cpor), give notice 2* (cpor), send word 1* (cpor), apprise 1* (cpor), apprize 1* (cpor))	send word	1
371208	(advise 2* (cpor) [cpor] | notify 1* (cpor), give notice 2* (cpor), send word 1* (cpor), apprise 1* (cpor), apprize 1* (cpor))	give notice	2
371207	(tip off 1* (cpor) [cpor] | tip 8* (cpor))	tip off	1
371191	(call out 3* (cpor) [cpor] | )	call out	3
371188	(call one's bluff 1* (cpor) [cpor] | )	call one's bluff	1
371184	(account 4* (cpor) [cpor] | answer for 1* (cpor))	answer for	1
371183	(question 1* (cpor) [cpor] | oppugn 1* (cpor), call into question 1* (cpor))	call into question	1
371170	(talk down 1* (cpor) [cpor] | )	talk down	1
371162	(attack 2* (cpor) [cpor] | round 4* (cpor), assail 3* (cpor), lash out 1* (cpor), snipe 3* (cpor), assault 3* (cpor))	lash out	1
371154	(crack up 2* (cpor) [cpor] | )	crack up	2
371148	(lighten 3* (cpor) [cpor] | lighten up 2* (cpor), buoy up 1* (cpor))	buoy up	1
371148	(lighten 3* (cpor) [cpor] | lighten up 2* (cpor), buoy up 1* (cpor))	lighten up	2
371144	(cheer 3* (cpor) [cpor] | cheer up 1* (cpor), jolly along 1* (cpor), jolly up 1* (cpor))	jolly up	1
371144	(cheer 3* (cpor) [cpor] | cheer up 1* (cpor), jolly along 1* (cpor), jolly up 1* (cpor))	jolly along	1
371144	(cheer 3* (cpor) [cpor] | cheer up 1* (cpor), jolly along 1* (cpor), jolly up 1* (cpor))	cheer up	1
371143	(cheer 4* (cpor) [cpor] | cheer up 2* (cpor), chirk up 1* (cpor))	chirk up	1
371143	(cheer 4* (cpor) [cpor] | cheer up 2* (cpor), chirk up 1* (cpor))	cheer up	2
371142	(cheer 5* (cpor) [cpor] | root on 1* (cpor), inspire 4* (cpor), urge 3* (cpor), barrack 2* (cpor), urge on 1* (cpor), exhort 1* (cpor), pep up 1* (cpor))	pep up	1
371142	(cheer 5* (cpor) [cpor] | root on 1* (cpor), inspire 4* (cpor), urge 3* (cpor), barrack 2* (cpor), urge on 1* (cpor), exhort 1* (cpor), pep up 1* (cpor))	urge on	1
371142	(cheer 5* (cpor) [cpor] | root on 1* (cpor), inspire 4* (cpor), urge 3* (cpor), barrack 2* (cpor), urge on 1* (cpor), exhort 1* (cpor), pep up 1* (cpor))	root on	1
371127	(referee 2* (cpor) [cpor] | peer review 1* (cpor))	peer review	1
371124	(gull 2* (cpor) [cpor] | dupe 1* (cpor), slang 2* (cpor), befool 2* (cpor), cod 1* (cpor), fool 3* (cpor), put on 8* (cpor), take in 2* (cpor), put one over 1* (cpor), put one across 1* (cpor))	put one across	1
371124	(gull 2* (cpor) [cpor] | dupe 1* (cpor), slang 2* (cpor), befool 2* (cpor), cod 1* (cpor), fool 3* (cpor), put on 8* (cpor), take in 2* (cpor), put one over 1* (cpor), put one across 1* (cpor))	put one over	1
371124	(gull 2* (cpor) [cpor] | dupe 1* (cpor), slang 2* (cpor), befool 2* (cpor), cod 1* (cpor), fool 3* (cpor), put on 8* (cpor), take in 2* (cpor), put one over 1* (cpor), put one across 1* (cpor))	take in	2
