	id	lemma	domain	pos	tagcount	source	status	comment	variant	project	owner	error_comment	verb_aspect	sense id	synset_id	synset	sense_id
98	7324	rejon walk	12	2	0.0	1.0	0.0	##K:  ##D: . [##P: ] {##L: } <##nDD>	1	1			0				
99	7443	ronić łzy	35	1	0.0	1.0	4.0	##K: książk. ##D: reagować na coś płaczem, najczęściej pod wpływem bólu lub silnych emocji. [##Ko: ronić rzewne łzy] [##Sienkiewicz: Widzę, jak piękne czytelniczki poczynają łzy ronić nad moim bohaterem, a zatém, nim która z nich zemdleje pośpieszam dodać, że jednak bohatér nie umarł z téj rany.] <##nDD> <##VLC: CZ>	1	1			2				
100	143699	obiekt astronomiczny	1	2	0.0	1.0	0.0	SUMO#AstronomicalBody <##nDD>	1	1	Marek.Maziarz		0				
101	7596	rozstać się z życiem	28	1	0.0	1.0	0.0	brak danych <##nDD> <##VLC: PRd>	1	1			1				
102	7933	sięgać korzeniami	40	1	0.0	1.0	0.0	brak danych <##nDD> <##VLC: ZD>	1	1			2				
103	7977	skarbnica wiedzy	26	2	0.0	1.0	0.0	##K:  ##D: . [##P: ] {##L: } <##nDD>	1	1			0				
104	8058	składać pocałunek	33	1	2273.0	0.0	0.0	##K: og. ##D: całować kogoś lub coś. [##P: Córki zmarłego podchodzą po kolei do trumny i składają pocałunek na jego ręce.] <##nDD> <##VLC: CZ>	1	1			2				
105	8138	snuć wspomnienia	30	1	231.0	0.0	0.0	wspomnienia <##nDD> <##VLC: CZ>	1	1			2				
106	8168	spadek napięcia	9	2	0.0	1.0	0.0	##K: og. ##D: obniżenie napięcia nerwowego. [##P: ] {##L: } <##s> <##nDD>	1	1			0				
107	8179	specjalista od public relations	15	2	0.0	1.0	0.0	"##K:  ##D: . [##P: ] {##L: } <##nDD>
##A1: 0 ##A2: 0"	1	1			0				
108	8250	sposób rozumowania	6	2	0.0	1.0	0.0	##K:  ##D: . [##P: ] {##L: } <##s> <##nDD>	1	1			0				
109	143432	zrobienie roszady	2	2	0.0	1.0	0.0	##K:  ##D: . [##P: ] {##L: } <##nDD>	1	2	Marta.Dobrowolska		0				
110	8354	środek przekazu	3	2	0.0	1.0	0.0	##K:  ##D: . [##P: ] {##L: } <##nDD>	1	1			0				
111	8386	stan posiadania	18	2	0.0	1.0	0.0	##K: og. ##D: ogół rzeczy i środków, które ktoś (człowiek lub instytucja) posiada. [##P: Dzięki hossie giełdowej spółka zwiększyła swój stan posiadania.] <##nDD>	1	1			0				
112	8440	stawiać wniosek	30	1	1320.0	0.0	0.0	np. warunki <##nDD> <##VLC: CZ, ZD>	1	1			2				
113	8488	stracić życie	28	1	0.0	1.0	0.0	brak danych <##nDD> <##VLC: PRd>	1	1			1				
114	8550	stwarzać pozory	37	1	0.0	1.0	0.0	brak danych <##nDD> <##VLC: CZ>	1	1			2				
115	8576	substancja jadalna	24	2	0.0	1.0	0.0	##K:  ##D: . [##P: ] {##L: } <##s> <##nDD>	1	1			0				
116	8823	sztuka leczenia	6	2	0.0	1.0	0.0	##K:  ##D: . [##P: ] {##L: } <##nDD>	1	1			0				
